Date,Open,High,Low,Close,Adj Close,Volume
2014-08-08,61.250000,61.250000,59.560001,60.139999,60.139999,1247000
2014-08-11,60.250000,60.470001,58.320000,59.410000,59.410000,1794500
2014-08-12,59.500000,59.770000,57.889999,58.240002,58.240002,1210900
2014-08-13,58.709999,61.500000,58.259998,61.220001,61.220001,1767600
2014-08-14,61.130001,61.299999,59.919998,60.230000,60.230000,805100
2014-08-15,60.689999,61.000000,58.200001,58.990002,58.990002,1636600
2014-08-18,59.349998,60.869999,58.970001,60.650002,60.650002,1066400
2014-08-19,60.709999,61.950001,60.029999,61.759998,61.759998,855900
2014-08-20,61.650002,61.950001,60.830002,61.380001,61.380001,637400
2014-08-21,61.000000,61.000000,58.459999,59.680000,59.680000,1620500
2014-08-22,59.730000,61.299999,59.669998,60.980000,60.980000,1304100
2014-08-25,61.450001,61.580002,59.880001,59.970001,59.970001,662800
2014-08-26,59.980000,61.700001,59.869999,61.490002,61.490002,672300
2014-08-27,61.310001,62.959999,61.080002,62.290001,62.290001,776900
2014-08-28,61.919998,62.250000,60.250000,60.450001,60.450001,916300
2014-08-29,60.619999,65.669998,60.470001,65.489998,65.489998,2659400
2014-09-02,65.139999,68.250000,64.800003,68.180000,68.180000,1983600
2014-09-03,68.790001,68.790001,66.790001,67.510002,67.510002,1264000
2014-09-04,68.300003,68.910004,66.919998,67.150002,67.150002,890200
2014-09-05,67.010002,69.820000,66.599998,69.379997,69.379997,1236700
2014-09-08,69.000000,70.470001,68.599998,69.970001,69.970001,1665200
2014-09-09,70.190002,70.870003,69.250000,69.730003,69.730003,1231600
2014-09-10,69.900002,73.000000,69.150002,72.849998,72.849998,1704000
2014-09-11,73.000000,76.480003,72.110001,75.550003,75.550003,2826600
2014-09-12,75.849998,78.419998,74.709999,77.160004,77.160004,3376700
2014-09-15,76.379997,76.410004,70.300003,71.370003,71.370003,2506800
2014-09-16,72.370003,74.129997,70.800003,73.389999,73.389999,1774800
2014-09-17,73.620003,74.190002,72.510002,73.000000,73.000000,973300
2014-09-18,73.389999,73.989998,71.980003,72.040001,72.040001,905600
2014-09-19,72.629997,73.339996,70.019997,73.260002,73.260002,1759900
2014-09-22,72.910004,73.930000,71.230003,72.070000,72.070000,1124100
2014-09-23,71.440002,71.889999,69.620003,70.910004,70.910004,1494700
2014-09-24,71.680000,73.349998,71.089996,73.019997,73.019997,969000
2014-09-25,72.919998,73.730003,70.500000,70.980003,70.980003,1045600
2014-09-26,71.230003,72.129997,70.870003,71.760002,71.760002,937300
2014-09-29,70.440002,73.750000,69.230003,73.010002,73.010002,1172500
2014-09-30,73.459999,73.680000,71.519997,72.650002,72.650002,710000
2014-10-01,72.169998,72.169998,67.150002,68.029999,68.029999,1628700
2014-10-02,68.440002,69.620003,65.800003,69.349998,69.349998,1428600
2014-10-03,70.059998,71.980003,69.690002,70.220001,70.220001,963300
2014-10-06,72.550003,76.059998,70.910004,71.150002,71.150002,1957200
